LifeNumber;LactationNumber;CalvingDate;DryOffDate;InseminationNumber;InseminationDate;PregnancyCheckDate;CheckResult;
;0;21-7-2014;;;;;;
;0;18-1-2015;;;;;;
;0;21-11-2014;;;;;;
;0;16-7-2014;;;;;;
;0;5-7-2014;;;;;;
;0;14-11-2015;;;;;;
;0;22-9-2014;;;;;;
;0;19-11-2016;;;;;;
;0;16-9-2016;;;;;;
;0;1-11-2017;;;;;;
;0;15-3-2017;;;;;;
;0;13-2-2016;;;;;;
;0;7-7-2017;;;;;;
;0;20-2-2016;;;;;;
;0;6-11-2016;;;;;;
;0;2-8-2016;;;;;;
;0;9-5-2014;;;;;;
;0;13-11-2015;;;;;;
;0;8-8-2016;;;;;;
;0;19-10-2016;;;;;;
;0;5-5-2017;;;;;;
;0;1-12-2015;;;;;;
;0;16-11-2016;;;;;;
;0;11-11-2015;;;;;;
;0;7-9-2017;;;;;;
;0;24-11-2016;;;;;;
;0;12-2-2014;;;;;;
;0;15-8-2016;;;;;;
;0;12-2-2016;;;;;;
;0;19-9-2015;;;;;;
;0;28-11-2014;;;;;;
;0;21-11-2015;;;;;;
;0;3-7-2015;;;;;;
;0;7-11-2015;;;;;;
;0;12-7-2016;;;;;;
;0;16-9-2016;;;;;;
;0;15-9-2017;;;;;;
;0;17-8-2016;;;;;;
;0;10-3-2014;;;;;;
;0;9-5-2014;;;;;;
;0;9-5-2015;;;;;;
;0;30-9-2017;;;;;;
;0;21-11-2016;;;;;;
;0;16-11-2016;;;;;;
;0;16-10-2016;;;;;;
;0;27-6-2016;;;;;;
;0;18-2-2016;;;;;;
;0;30-6-2016;;;;;;
;0;26-4-2016;;;;;;
;0;21-4-2014;;;;;;
;0;9-10-2015;;;;;;
;0;12-6-2017;;;;;;
;0;3-10-2016;;;;;;
;0;22-12-2016;;;;;;
;0;7-3-2017;;;;;;
;0;12-11-2015;;;;;;
;0;2-6-2016;;;;;;
;0;4-9-2015;;;;;;
;0;7-9-2016;;;;;;
;0;1-4-2014;;;;;;
;0;3-11-2015;;;;;;
;0;4-9-2014;;;;;;
;0;1-11-2017;;;;;;
;0;8-3-2015;;;;;;
;0;18-4-2014;;;;;;
;0;10-3-2017;;;;;;
;0;24-10-2015;;;;;;
;0;16-9-2016;;;;;;
;0;16-9-2016;;;;;;
;0;6-11-2017;;;;;;
;0;5-10-2015;;;;;;
;0;22-12-2016;;;;;;
;0;18-8-2015;;;;;;
;0;8-1-2016;;;;;;
;0;25-8-2017;;;;;;
;0;1-12-2016;;;;;;
;0;10-2-2016;;;;;;
;0;22-9-2014;;;;;;
;0;2-3-2014;;;;;;
;0;5-2-2017;;;;;;
;0;9-12-2015;;;;;;
;0;4-10-2016;;;;;;
;0;18-11-2016;;;;;;
;0;4-11-2016;;;;;;
;0;27-6-2017;;;;;;
;0;16-12-2015;;;;;;
;0;26-1-2017;;;;;;
;0;14-4-2014;;;;;;
;0;28-7-2014;;;;;;
;0;6-6-2016;;;;;;
;0;12-11-2015;;;;;;
;0;27-8-2014;;;;;;
;0;9-12-2016;;;;;;
;0;16-4-2015;;;;;;
;0;3-4-2016;;;;;;
;0;29-12-2016;;;;;;
;0;8-7-2015;;;;;;
;1;16-7-2015;;;;;;
